"행정구역별(시군구)","연령별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"서울특별시","합계","1인가구","","1115744","1138860","1180540","1229421","1299787","1390701","1489893","1564187",
"서울특별시","합계","남자","","544059","544607","561524","581944","611561","650999","698324","730639",
"서울특별시","합계","여자","","571685","594253","619016","647477","688226","739702","791569","833548",
"서울특별시","20세 미만","1인가구","","13721","14937","14190","14487","12806","14185","10687","12872",
"서울특별시","20세 미만","남자","","5604","6174","5769","5629","5010","5345","4021","5074",
"서울특별시","20세 미만","여자","","8117","8763","8421","8858","7796","8840","6666","7798",
"서울특별시","20~24","1인가구","","93068","101069","103451","109213","116592","123990","126833","129586",
"서울특별시","20~24","남자","","37155","39091","38633","39816","41263","42602","43490","45438",
"서울특별시","20~24","여자","","55913","61978","64818","69397","75329","81388","83343","84148",
"서울특별시","25~29","1인가구","","165410","169534","179568","195284","216707","238517","263071","275723",
"서울특별시","25~29","남자","","84013","84947","90451","97792","106618","114318","124539","128491",
"서울특별시","25~29","여자","","81397","84587","89117","97492","110089","124199","138532","147232",
"서울특별시","30~34","1인가구","","157667","152434","152797","155740","166340","183573","204717","224798",
"서울특별시","30~34","남자","","89993","85936","85828","87035","92561","102247","113310","123488",
"서울특별시","30~34","여자","","67674","66498","66969","68705","73779","81326","91407","101310",
"서울특별시","35~39","1인가구","","105540","107045","112945","118254","121980","126485","131942","133594",
"서울특별시","35~39","남자","","60969","60794","63595","66348","68322","70540","73811","74784",
"서울특별시","35~39","여자","","44571","46251","49350","51906","53658","55945","58131","58810",
"서울특별시","40~44","1인가구","","94750","88976","87540","84910","85728","91518","99293","104993",
"서울특별시","40~44","남자","","56732","52144","50156","48293","48156","51144","55555","58515",
"서울특별시","40~44","여자","","38018","36832","37384","36617","37572","40374","43738","46478",
"서울특별시","45~49","1인가구","","82138","83763","87497","88852","90140","90186","89640","88732",
"서울특별시","45~49","남자","","50215","50151","51922","52190","52545","52330","51706","50424",
"서울특별시","45~49","여자","","31923","33612","35575","36662","37595","37856","37934","38308",
"서울특별시","50~54","1인가구","","77390","74817","73980","75442","78665","82704","89413","93831",
"서울특별시","50~54","남자","","45825","43972","43351","44348","46217","48793","52407","54610",
"서울특별시","50~54","여자","","31565","30845","30629","31094","32448","33911","37006","39221",
"서울특별시","55~59","1인가구","","77679","79744","83472","83433","84285","84976","86500","86408",
"서울특별시","55~59","남자","","38696","39741","42590","43292","44855","46352","47858","47565",
"서울특별시","55~59","여자","","38983","40003","40882","40141","39430","38624","38642","38843",
"서울특별시","60~64","1인가구","","62250","70085","75860","82818","88456","94834","102413","104578",
"서울특별시","60~64","남자","","26040","29683","32292","35991","38575","42318","46587","48900",
"서울특별시","60~64","여자","","36210","40402","43568","46827","49881","52516","55826","55678",
"서울특별시","65~69","1인가구","","56374","58448","61577","63468","67696","77047","88494","95561",
"서울특별시","65~69","남자","","19525","20312","22070","22888","25180","28985","34324","37618",
"서울특별시","65~69","여자","","36849","38136","39507","40580","42516","48062","54170","57943",
"서울특별시","70~74","1인가구","","50095","51275","52768","56393","61035","65469","69402","73327",
"서울특별시","70~74","남자","","13667","14274","14973","16656","18463","20181","21800","23678",
"서울특별시","70~74","여자","","36428","37001","37795","39737","42572","45288","47602","49649",
"서울특별시","75~79","1인가구","","39946","43075","47620","49529","51747","54109","57061","60023",
"서울특별시","75~79","남자","","8777","9731","11185","11828","12486","13245","14397","15313",
"서울특별시","75~79","여자","","31169","33344","36435","37701","39261","40864","42664","44710",
"서울특별시","80~84","1인가구","","24674","27040","29344","31917","35227","37968","42020","47777",
"서울특별시","80~84","남자","","4257","4860","5553","6298","7167","7863","8983","10413",
"서울특별시","80~84","여자","","20417","22180","23791","25619","28060","30105","33037","37364",
"서울특별시","85세 이상","1인가구","","15042","16618","17931","19681","22383","25140","28407","32384",
"서울특별시","85세 이상","남자","","2591","2797","3156","3540","4143","4736","5536","6328",
"서울특별시","85세 이상","여자","","12451","13821","14775","16141","18240","20404","22871","26056",
"종로구","합계","1인가구","","22776","22835","23638","25326","24671","25983","27308","28424",
"종로구","합계","남자","","11608","11185","11594","12635","11942","12663","13211","13561",
"종로구","합계","여자","","11168","11650","12044","12691","12729","13320","14097","14863",
"종로구","20세 미만","1인가구","","396","526","507","798","507","398","328","503",
"종로구","20세 미만","남자","","134","169","191","304","158","134","111","170",
"종로구","20세 미만","여자","","262","357","316","494","349","264","217","333",
"종로구","20~24","1인가구","","2455","2973","2992","3741","3280","3331","3211","3318",
"종로구","20~24","남자","","1122","1214","1138","1761","1236","1209","1146","1201",
"종로구","20~24","여자","","1333","1759","1854","1980","2044","2122","2065","2117",
"종로구","25~29","1인가구","","3634","3547","3627","4007","3903","4111","4588","4913",
"종로구","25~29","남자","","2001","1948","2082","2259","2178","2229","2342","2455",
"종로구","25~29","여자","","1633","1599","1545","1748","1725","1882","2246","2458",
"종로구","30~34","1인가구","","2754","2486","2552","2587","2647","2923","3205","3366",
"종로구","30~34","남자","","1540","1345","1374","1441","1466","1664","1791","1810",
"종로구","30~34","여자","","1214","1141","1178","1146","1181","1259","1414","1556",
"종로구","35~39","1인가구","","1739","1723","1796","1880","1872","1981","2015","2081",
"종로구","35~39","남자","","951","900","967","976","959","1043","1091","1098",
"종로구","35~39","여자","","788","823","829","904","913","938","924","983",
"종로구","40~44","1인가구","","1707","1497","1518","1454","1405","1516","1690","1762",
"종로구","40~44","남자","","983","859","824","778","727","774","860","919",
"종로구","40~44","여자","","724","638","694","676","678","742","830","843",
"종로구","45~49","1인가구","","1651","1633","1723","1734","1704","1743","1620","1547",
"종로구","45~49","남자","","982","949","982","964","944","983","908","841",
"종로구","45~49","여자","","669","684","741","770","760","760","712","706",
"종로구","50~54","1인가구","","1625","1544","1540","1578","1521","1612","1783","1807",
"종로구","50~54","남자","","1075","970","931","908","880","958","1022","1021",
"종로구","50~54","여자","","550","574","609","670","641","654","761","786",
"종로구","55~59","1인가구","","1534","1537","1660","1683","1718","1744","1757","1708",
