var,c_2023_all_ols,p_2023_all_ols,c_2023_all_fwd,p_2023_all_fwd,c_2023_all,p_2023_all
애완동물,-0.813,+,-0.58,+,-0.52,+
패스트푸드점,-0.255,+,-0.321,+,-0.316,+
종사자수,-0.244,+,-0.27,+,-0.262,+
제과점,-0.257,+,-0.208,+,-0.192,+
대학교,0.123,+,0.143,+,0.143,+
호프-간이주점,0.209,+,0.171,+,0.186,+
편의점,0.291,+,0.209, ,,
양식음식점,0.248,+,0.236,+,0.229,+
사업체수,0.535,+,0.536,+,0.533,+
분식전문점,0.694,+,0.621,+,0.743,+
네일숍,0.274, ,,,,
미용실,0.133, ,,,,
한식음식점,-0.054, ,,,,
일식음식점,-0.154, ,,,,
중식음식점,-0.078, ,,,,
치킨전문점,-0.163, ,,,,
커피-음료,0.031, ,,,,
유통업체수,0.002, ,,,,
대형마트,0.002, ,,,,
쇼핑업체수,0.002, ,,,,
슈퍼마켓,-0.059, ,,,,
지가변동률,0.011, ,,,,
지가,0.028, ,,,,
기타대학,0.044, ,,,,
