var,c_2024_20_ols,p_2024_20_ols,c_2024_20_fwd,p_2024_20_fwd,c_2024_20,p_2024_20
애완동물,-0.735,+,-0.753,+,-0.733,+
슈퍼마켓,-0.078, ,-0.06, ,,
기타대학,0.086,+,0.079, ,0.083,+
양식음식점,0.053, ,0.109,+,,
커피-음료,0.09, ,0.116,+,0.106,+
네일숍,0.174, ,0.202, ,,
대학교,0.412,+,0.408,+,0.414,+
편의점,0.543,+,0.468,+,0.488,+
일식음식점,0.246, ,,,0.277,+
사업체수,0.317,+,,,0.201,+
종사자수,-0.321,+,,,-0.268,+
미용실,-0.03, ,,,,
분식전문점,0.219, ,,,,
한식음식점,-0.304, ,,,,
중식음식점,0.0, ,,,,
치킨전문점,-0.083, ,,,,
패스트푸드점,-0.091, ,,,,
제과점,-0.082, ,,,,
호프-간이주점,0.154, ,,,,
유통업체수,-0.029, ,,,,
대형마트,0.072, ,,,,
쇼핑업체수,-0.05, ,,,,
지가변동률,0.005, ,,,,
지가,0.04, ,,,,
