var2,var,c_2022_all,p_2022_all,c_2022_20,p_2022_20,c_2022_30,p_2022_30,c_2023_all,p_2023_all,c_2023_20,p_2023_20,c_2023_30,p_2023_30,c_2024_all,p_2024_all,c_2024_20,p_2024_20,c_2024_30,p_2024_30
const,상수,0.0, ,0.0, ,-0.0, ,-0.0, ,0.0, ,0.0, ,0.0, ,-0.0, ,-0.0, 
var3,애완동물,-0.414,+,-0.656,+,,,-0.52,+,-0.734,+,-0.235,+,-0.612,+,-0.733,+,,
var4,분식전문점,0.688,+,,,,,0.743,+,,,,,0.551,+,,,,
var6,양식음식점,0.273,+,,,,,0.229,+,,,,,0.225,+,,,,
var11,패스트푸드점,-0.287,+,,,,,-0.316,+,,,,,-0.29,+,,,,
var12,제과점,-0.286,+,,,-0.18,+,-0.192,+,,,,,-0.254,+,,,-0.222,+
var13,호프-간이주점,0.162,+,,,0.141,+,0.186,+,,,,,0.167,+,,,0.137,+
var21,사업체수,0.466,+,0.223,+,0.187,+,0.533,+,0.241,+,0.196,+,0.546,+,0.201,+,0.25,+
var22,종사자수,-0.189,+,-0.257,+,,,-0.262,+,-0.275,+,,,-0.307,+,-0.268,+,,
var23,대학교,0.142,+,0.419,+,-0.098,+,0.143,+,0.411,+,-0.107,+,0.148,+,0.414,+,-0.08,+
