var2,var,c_2022_all,p_2022_all,c_2022_20,p_2022_20,c_2022_30,p_2022_30,c_2023_all,p_2023_all,c_2023_20,p_2023_20,c_2023_30,p_2023_30,c_2024_all,p_2024_all,c_2024_20,p_2024_20,c_2024_30,p_2024_30
Intercept,상수,0.0, ,0.0, ,-0.0, ,-0.0, ,0.0, ,0.0, ,0.0, ,-0.0, ,-0.0, 
var21,사업체수,0.449,+,,,0.182,+,0.536,+,0.238,+,0.274,+,0.532,+,,,0.273,+
var23,대학교,0.143,+,0.417,+,-0.089,+,0.143,+,0.409,+,-0.085,+,0.147,+,0.408,+,-0.073, 
var4,분식전문점,0.546,+,,,-0.043, ,0.621,+,,,,,0.506,+,,,,
var3,애완동물,-0.483,+,-0.547,+,,,-0.58,+,-0.79,+,,,-0.625,+,-0.753,+,,
var13,호프-간이주점,0.167,+,,,0.144,+,0.171,+,,,,,0.182,+,,,,
var11,패스트푸드점,-0.265,+,,,,,-0.321,+,,,,,-0.246,+,,,,
var6,양식음식점,0.264,+,0.15,+,,,0.236,+,0.155,+,0.271,+,0.211,+,0.109,+,0.225,+
var12,제과점,-0.324,+,,,-0.311,+,-0.208,+,,,,,-0.282,+,,,,
var22,종사자수,-0.193,+,,,,,-0.27,+,-0.211,+,,,-0.306,+,,,,
var10,커피-음료,0.084, ,0.129,+,,,,,0.097,+,,,0.088, ,0.116,+,,
var17,편의점,0.195, ,0.427,+,0.358,+,0.209, ,0.509,+,,,0.328,+,0.468,+,,
