var,c_2022_all,p_2022_all,c_2022_20,p_2022_20,c_2022_30,p_2022_30,c_2023_all,p_2023_all,c_2023_20,p_2023_20,c_2023_30,p_2023_30,c_2024_all,p_2024_all,c_2024_20,p_2024_20,c_2024_30,p_2024_30
const,-0.0, ,0.0, ,-0.0, ,-0.0, ,0.0, ,0.0, ,0.0, ,0.0, ,-0.0, 
네일숍,0.212, ,0.306, ,0.318, ,0.274, ,0.215, ,0.314, ,0.281, ,0.174, ,0.116, 
미용실,0.091, ,-0.175, ,-0.105, ,0.133, ,0.044, ,-0.227, ,0.094, ,-0.03, ,-0.178, 
애완동물,-0.633,+,-0.639,+,-0.17, ,-0.813,+,-0.751,+,-0.238, ,-0.792,+,-0.735,+,-0.097, 
분식전문점,0.668,+,0.352,+,0.033, ,0.694,+,0.264, ,-0.074, ,0.653,+,0.219, ,-0.066, 
한식음식점,-0.089, ,-0.439,+,-0.382,+,-0.054, ,-0.329, ,-0.309, ,-0.072, ,-0.304, ,-0.282, 
양식음식점,0.245,+,0.089, ,-0.054, ,0.248,+,0.108, ,0.079, ,0.256,+,0.053, ,0.083, 
일식음식점,-0.098, ,0.235, ,0.504,+,-0.154, ,0.207, ,0.288, ,-0.228, ,0.246, ,0.337,+
중식음식점,-0.045, ,-0.023, ,0.001, ,-0.078, ,-0.032, ,-0.001, ,-0.055, ,0.0, ,0.063, 
치킨전문점,-0.168, ,0.009, ,-0.318,+,-0.163, ,-0.074, ,-0.281,+,-0.191, ,-0.083, ,-0.247,+
커피-음료,0.058, ,0.077, ,-0.04, ,0.031, ,0.076, ,0.015, ,0.057, ,0.09, ,0.027, 
패스트푸드점,-0.245,+,-0.165, ,0.069, ,-0.255,+,-0.121, ,0.145, ,-0.222,+,-0.091, ,0.088, 
제과점,-0.338,+,-0.087, ,-0.235, ,-0.257,+,-0.107, ,-0.143, ,-0.287,+,-0.082, ,-0.179, 
호프-간이주점,0.21,+,0.158,+,0.172,+,0.209,+,0.125, ,0.145, ,0.239,+,0.154, ,0.16,+
유통업체수,0.001, ,-0.035, ,-0.017, ,0.002, ,-0.021, ,-0.028, ,0.008, ,-0.029, ,-0.022, 
대형마트,-0.006, ,0.07, ,0.079, ,0.002, ,0.065, ,0.079, ,0.006, ,0.072, ,0.071, 
쇼핑업체수,0.002, ,-0.055, ,-0.038, ,0.002, ,-0.039, ,-0.049, ,0.007, ,-0.05, ,-0.041, 
편의점,0.273, ,0.456,+,0.42,+,0.291,+,0.516,+,0.545,+,0.377,+,0.543,+,0.446,+
슈퍼마켓,-0.052, ,-0.082, ,-0.068, ,-0.059, ,-0.085,+,-0.059, ,-0.044, ,-0.078, ,-0.049, 
지가변동률,-0.029, ,0.108, ,0.004, ,0.011, ,0.057, ,0.224,+,-0.051, ,0.005, ,0.301,+
지가,-0.025, ,0.055, ,-0.254,+,0.028, ,0.029, ,0.037, ,0.055, ,0.04, ,-0.153,+
사업체수,0.47,+,0.329,+,0.239,+,0.535,+,0.296,+,0.259,+,0.533,+,0.317,+,0.411,+
종사자수,-0.191, ,-0.276,+,-0.069, ,-0.244,+,-0.261,+,-0.084, ,-0.265,+,-0.321,+,-0.218,+
대학교,0.13,+,0.413,+,-0.09,+,0.123,+,0.411,+,-0.097,+,0.133,+,0.412,+,-0.074, 
기타대학,0.041, ,0.094,+,-0.037, ,0.044, ,0.092,+,-0.038, ,0.037, ,0.086,+,-0.042, 
