var,c_2022_30_ols,p_2022_30_ols,c_2022_30_fwd,p_2022_30_fwd,c_2022_30,p_2022_30
제과점,-0.514,+,-0.564,+,-0.573,+
치킨전문점,-0.317,+,-0.368,+,-0.298,+
분식전문점,-0.308, ,-0.345,+,-0.379,+
지가,-0.295,+,-0.342,+,-0.365,+
커피-음료,-0.105, ,-0.146,+,,
대학교,-0.073, ,-0.065, ,,
대형마트,0.128,+,0.119,+,0.121,+
네일숍,0.453,+,0.414,+,0.405,+
편의점,0.481,+,0.429,+,0.381,+
일식음식점,0.685,+,0.661,+,0.598,+
미용실,-0.092, ,,,,
애완동물,-0.104, ,,,,
한식음식점,-0.262, ,,,,
양식음식점,0.073, ,,,,
중식음식점,-0.003, ,,,,
패스트푸드점,0.134, ,,,,
호프-간이주점,0.055, ,,,,
쇼핑업체수,-0.097, ,,,,
슈퍼마켓,-0.057, ,,,,
사업체수,0.235, ,,,,
종사자수,-0.192, ,,,,
지가변동률,0.008, ,,,,
기타대학,-0.042, ,,,,
