var,c_2023_all_ols,p_2023_all_ols,c_2023_all_fwd,p_2023_all_fwd,c_2023_all,p_2023_all
애완동물,-0.772,+,-0.707,+,-0.537,+
제과점,-0.46,+,-0.498,+,-0.502,+
치킨전문점,-0.176, ,-0.146, ,,
지가변동률,0.067, ,0.061, ,,
대형마트,0.064, ,0.064, ,,
대학교,0.158,+,0.172,+,0.157,+
네일숍,0.313,+,0.247,+,0.355,+
사업체수,0.15, ,0.266,+,0.227,+
양식음식점,0.238,+,0.279,+,0.273,+
미용실,0.387, ,0.428,+,,
편의점,0.515,+,0.533,+,0.573,+
분식전문점,0.112, ,,,,
한식음식점,0.122, ,,,,
일식음식점,-0.033, ,,,,
중식음식점,-0.07, ,,,,
커피-음료,-0.016, ,,,,
패스트푸드점,-0.05, ,,,,
호프-간이주점,0.04, ,,,,
쇼핑업체수,-0.015, ,,,,
슈퍼마켓,0.035, ,,,,
종사자수,0.046, ,,,,
지가,-0.004, ,,,,
기타대학,0.039, ,,,,
