var,c_2023_all_ols,p_2023_all_ols,c_2023_all_fwd,p_2023_all_fwd,c_2023_all,p_2023_all
애완동물,-0.608,+,-0.603,+,-0.576,+
월평균소득,-0.463,+,-0.44,+,-0.452,+
치킨전문점,-0.186, ,-0.285,+,-0.27,+
패스트푸드점,-0.187,+,-0.13, ,,
슈퍼마켓,-0.075,+,-0.067, ,,
쇼핑업체수,0.074, ,0.075, ,,
대학교,0.121,+,0.125,+,0.128,+
호프-간이주점,0.205,+,0.135,+,0.114,+
편의점,0.242, ,0.2, ,,
사업체수,0.236,+,0.212,+,0.236,+
양식음식점,0.191,+,0.224,+,0.207,+
분식전문점,0.731,+,0.553,+,0.624,+
네일숍,0.319,+,,,,
미용실,-0.343, ,,,,
한식음식점,-0.222, ,,,,
일식음식점,0.03, ,,,,
중식음식점,-0.062, ,,,,
커피-음료,0.019, ,,,,
제과점,-0.029, ,,,,
대형마트,0.021, ,,,,
지가변동률,0.057, ,,,,
지가,0.008, ,,,,
종사자수,-0.044, ,,,,
기타대학,0.035, ,,,,
