var,c_2022_all,p_2022_all,c_2022_20,p_2022_20,c_2022_30,p_2022_30,c_2023_all,p_2023_all,c_2023_20,p_2023_20,c_2023_30,p_2023_30,c_2024_all,p_2024_all,c_2024_20,p_2024_20,c_2024_30,p_2024_30
const,-0.0, ,0.0, ,-0.0, ,-0.0, ,0.0, ,0.0, ,-0.0, ,0.0, ,-0.0, 
네일숍,0.311,+,0.338,+,0.308, ,0.319,+,0.23, ,0.31, ,0.341,+,0.195, ,0.116, 
미용실,-0.423,+,-0.338, ,-0.054, ,-0.343, ,-0.116, ,-0.189, ,-0.482,+,-0.231, ,-0.178, 
애완동물,-0.442,+,-0.579,+,-0.189, ,-0.608,+,-0.682,+,-0.254, ,-0.497,+,-0.632,+,-0.097, 
분식전문점,0.764,+,0.382,+,0.023, ,0.731,+,0.276, ,-0.077, ,0.704,+,0.237, ,-0.066, 
한식음식점,-0.283, ,-0.501,+,-0.362, ,-0.222, ,-0.385, ,-0.295, ,-0.275, ,-0.375, ,-0.282, 
양식음식점,0.187,+,0.07, ,-0.048, ,0.191,+,0.089, ,0.084, ,0.215,+,0.039, ,0.083, 
일식음식점,0.054, ,0.284, ,0.488,+,0.03, ,0.268, ,0.273, ,-0.052, ,0.307, ,0.337,+
중식음식점,-0.029, ,-0.018, ,-0.001, ,-0.062, ,-0.026, ,-0.003, ,-0.021, ,0.012, ,0.064, 
치킨전문점,-0.166, ,0.009, ,-0.318,+,-0.186, ,-0.081, ,-0.28,+,-0.181, ,-0.079, ,-0.247,+
커피-음료,0.046, ,0.073, ,-0.039, ,0.019, ,0.072, ,0.016, ,0.056, ,0.089, ,0.027, 
패스트푸드점,-0.18,+,-0.144, ,0.062, ,-0.187,+,-0.098, ,0.139, ,-0.158, ,-0.069, ,0.088, 
제과점,-0.098, ,-0.011, ,-0.259,+,-0.029, ,-0.031, ,-0.161, ,-0.047, ,0.002, ,-0.179, 
호프-간이주점,0.217,+,0.16,+,0.171,+,0.205,+,0.123, ,0.145, ,0.231,+,0.15, ,0.16,+
대형마트,0.011, ,0.068, ,0.074, ,0.021, ,0.067, ,0.071, ,0.027, ,0.072, ,0.067, 
쇼핑업체수,0.08, ,-0.063, ,-0.061, ,0.074, ,-0.035, ,-0.08, ,0.089,+,-0.051, ,-0.061, 
편의점,0.181, ,0.426,+,0.429,+,0.242, ,0.499,+,0.549,+,0.293,+,0.514,+,0.446,+
슈퍼마켓,-0.07, ,-0.088,+,-0.066, ,-0.075,+,-0.09,+,-0.058, ,-0.062, ,-0.085,+,-0.049, 
지가변동률,0.004, ,0.118, ,0.0, ,0.057, ,0.072, ,0.22,+,0.047, ,0.039, ,0.301,+
지가,-0.073, ,0.04, ,-0.249,+,0.008, ,0.022, ,0.039, ,-0.001, ,0.02, ,-0.153,+
사업체수,0.164, ,0.232,+,0.269,+,0.236,+,0.196, ,0.282,+,0.208,+,0.203, ,0.41,+
종사자수,0.019, ,-0.209, ,-0.09, ,-0.044, ,-0.194, ,-0.1, ,-0.038, ,-0.242,+,-0.218,+
대학교,0.126,+,0.412,+,-0.09,+,0.121,+,0.41,+,-0.096,+,0.13,+,0.411,+,-0.074, 
기타대학,0.03, ,0.091,+,-0.036, ,0.035, ,0.089,+,-0.037, ,0.026, ,0.083,+,-0.042, 
월평균소득,-0.479,+,-0.152,+,0.048, ,-0.463,+,-0.155,+,0.037, ,-0.502,+,-0.175,+,-0.001, 
