,2022_all,2022_20s,2022_30s,2023_all,2023_20s,2023_30s,2024_all,2024_20s,2024_30s
ADM_CD,11102641.0,11092670.0,11219607.0,11115644.0,11079676.0,11199617.0,11118637.0,11080681.0,11199615.0
solo_all_ratio,53.0,43.0,33.0,54.0,42.0,35.0,52.0,42.0,33.0
solo_20s_ratio,22.0,32.0,13.0,21.0,32.0,13.0,22.0,31.0,12.0
solo_30s_ratio,12.0,9.0,21.0,13.0,8.0,21.0,13.0,9.0,20.0
네일숍,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0
미용실,10.0,6.0,9.0,10.0,5.0,8.0,8.0,6.0,8.0
애완동물,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0
분식전문점,18.0,4.0,7.0,17.0,3.0,6.0,9.0,3.0,5.0
한식음식점,76.0,16.0,37.0,78.0,12.0,32.0,46.0,16.0,30.0
양식음식점,21.0,5.0,12.0,21.0,3.0,11.0,12.0,4.0,9.0
일식음식점,9.0,2.0,6.0,9.0,1.0,5.0,6.0,2.0,5.0
중식음식점,6.0,1.0,3.0,6.0,1.0,3.0,4.0,2.0,3.0
치킨전문점,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
커피-음료,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0
패스트푸드점,3.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0
제과점,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0
호프-간이주점,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0
대형마트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
쇼핑업체수,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
편의점,6.0,2.0,4.0,6.0,1.0,3.0,4.0,2.0,3.0
슈퍼마켓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
사업체수,7170.0,2388.0,9362.0,8535.0,2291.0,8456.0,8875.0,2228.0,9386.0
종사자수,52307.0,13399.0,70676.0,55421.0,13080.0,63781.0,59693.0,13006.0,71586.0
지가변동률,5.0,5.0,6.0,7.0,7.0,9.0,8.0,7.0,11.0
지가,97.0,98.0,95.0,99.0,99.0,98.0,100.0,100.0,100.0
대학교,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
기타대학,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
