,2024_all,2024_20s,2024_30s
ADM_CD,11118637.0,11080681.0,11199615.0
solo_all_ratio,52.0,42.0,33.0
solo_20s_ratio,22.0,31.0,12.0
solo_30s_ratio,13.0,9.0,20.0
네일숍,2.0,1.0,3.0
미용실,8.0,6.0,8.0
애완동물,2.0,1.0,2.0
분식전문점,9.0,3.0,5.0
한식음식점,46.0,16.0,30.0
양식음식점,12.0,4.0,9.0
일식음식점,6.0,2.0,5.0
중식음식점,4.0,2.0,3.0
치킨전문점,1.0,1.0,1.0
커피-음료,1.0,1.0,0.0
패스트푸드점,1.0,1.0,2.0
제과점,2.0,1.0,2.0
호프-간이주점,2.0,1.0,1.0
대형마트,0.0,0.0,0.0
쇼핑업체수,0.0,0.0,0.0
편의점,4.0,2.0,3.0
슈퍼마켓,0.0,0.0,0.0
사업체수,8875.0,2228.0,9386.0
종사자수,59693.0,13006.0,71586.0
지가변동률,8.0,7.0,11.0
지가,100.0,100.0,100.0
대학교,1.0,1.0,0.0
기타대학,0.0,0.0,0.0
