,2022_30s,2023_30s,2024_30s
ADM_CD,11219607.0,11199617.0,11199615.0
solo_all_ratio,33.0,35.0,33.0
solo_20s_ratio,13.0,13.0,12.0
solo_30s_ratio,21.0,21.0,20.0
네일숍,3.0,3.0,3.0
미용실,9.0,8.0,8.0
애완동물,3.0,2.0,2.0
분식전문점,7.0,6.0,5.0
한식음식점,37.0,32.0,30.0
양식음식점,12.0,11.0,9.0
일식음식점,6.0,5.0,5.0
중식음식점,3.0,3.0,3.0
치킨전문점,1.0,1.0,1.0
커피-음료,1.0,1.0,0.0
패스트푸드점,3.0,2.0,2.0
제과점,2.0,2.0,2.0
호프-간이주점,1.0,1.0,1.0
대형마트,0.0,0.0,0.0
쇼핑업체수,0.0,0.0,0.0
편의점,4.0,3.0,3.0
슈퍼마켓,0.0,0.0,0.0
사업체수,9362.0,8456.0,9386.0
종사자수,70676.0,63781.0,71586.0
지가변동률,6.0,9.0,11.0
지가,95.0,98.0,100.0
대학교,0.0,0.0,0.0
기타대학,0.0,0.0,0.0
