,2022_all,2023_all,2024_all
ADM_CD,11102641.0,11115644.0,11118637.0
solo_all_ratio,53.0,54.0,52.0
solo_20s_ratio,22.0,21.0,22.0
solo_30s_ratio,12.0,13.0,13.0
네일숍,2.0,2.0,2.0
미용실,10.0,10.0,8.0
애완동물,2.0,2.0,2.0
분식전문점,18.0,17.0,9.0
한식음식점,76.0,78.0,46.0
양식음식점,21.0,21.0,12.0
일식음식점,9.0,9.0,6.0
중식음식점,6.0,6.0,4.0
치킨전문점,1.0,1.0,1.0
커피-음료,3.0,3.0,1.0
패스트푸드점,3.0,3.0,1.0
제과점,3.0,3.0,2.0
호프-간이주점,3.0,3.0,2.0
대형마트,0.0,0.0,0.0
쇼핑업체수,1.0,1.0,0.0
편의점,6.0,6.0,4.0
슈퍼마켓,0.0,0.0,0.0
사업체수,7170.0,8535.0,8875.0
종사자수,52307.0,55421.0,59693.0
지가변동률,5.0,7.0,8.0
지가,97.0,99.0,100.0
대학교,1.0,0.0,1.0
기타대학,0.0,0.0,0.0
